0 Notification: 10.0.0.1 (n.leader), 11.0.0.1 (n.zxid), 12.0.0.1 (n.round), LOOKING (n.state), 13.0.0.1 (n.sid), 14.0.0.1 (n.peerEPoch), LEADING (my state)
1 Notification: 10.0.0.1 (n.leader), 11.0.0.1 (n.zxid), 12.0.0.1 (n.round), LOOKING (n.state), 13.0.0.1 (n.sid), 14.0.0.1 (n.peerEPoch), LEADING (my state)
2 Notification: 10.0.0.1 (n.leader), 11.0.0.1 (n.zxid), 12.0.0.1 (n.round), LOOKING (n.state), 13.0.0.1 (n.sid), 14.0.0.1 (n.peerEPoch), LEADING (my state)
3 Notification: 10.0.0.2 (n.leader), 11.0.0.2 (n.zxid), 12.0.0.2 (n.round), LOOKING (n.state), 13.0.0.2 (n.sid), 14.0.0.2 (n.peerEPoch), LEADING (my state)
4 Notification: 10.0.0.2 (n.leader), 11.0.0.2 (n.zxid), 12.0.0.2 (n.round), LOOKING (n.state), 13.0.0.2 (n.sid), 14.0.0.2 (n.peerEPoch), LEADING (my state)
5 Notification: 10.0.0.3 (n.leader), 11.0.0.3 (n.zxid), 12.0.0.3 (n.round), LOOKING (n.state), 13.0.0.3 (n.sid), 14.0.0.3 (n.peerEPoch), LEADING (my state)
6 Notification: 10.0.0.3 (n.leader), 11.0.0.3 (n.zxid), 12.0.0.3 (n.round), LOOKING (n.state), 13.0.0.3 (n.sid), 14.0.0.3 (n.peerEPoch), LEADING (my state)
7 Notification: 10.0.0.4 (n.leader), 11.0.0.4 (n.zxid), 12.0.0.4 (n.round), LOOKING (n.state), 13.0.0.4 (n.sid), 14.0.0.4 (n.peerEPoch), LEADING (my state)
8 Notification: 10.0.0.4 (n.leader), 11.0.0.4 (n.zxid), 12.0.0.4 (n.round), LOOKING (n.state), 13.0.0.4 (n.sid), 14.0.0.4 (n.peerEPoch), LEADING (my state)
9 Notification: 10.0.0.5 (n.leader), 11.0.0.5 (n.zxid), 12.0.0.5 (n.round), LOOKING (n.state), 13.0.0.5 (n.sid), 14.0.0.5 (n.peerEPoch), LEADING (my state)
10 Notification: 10.0.0.5 (n.leader), 11.0.0.5 (n.zxid), 12.0.0.5 (n.round), LOOKING (n.state), 13.0.0.5 (n.sid), 14.0.0.5 (n.peerEPoch), LEADING (my state)
11 Notification: 10.0.0.6 (n.leader), 11.0.0.6 (n.zxid), 12.0.0.6 (n.round), LOOKING (n.state), 13.0.0.6 (n.sid), 14.0.0.6 (n.peerEPoch), LEADING (my state)
12 Notification: 10.0.0.6 (n.leader), 11.0.0.6 (n.zxid), 12.0.0.6 (n.round), LOOKING (n.state), 13.0.0.6 (n.sid), 14.0.0.6 (n.peerEPoch), LEADING (my state)
13 Notification: 10.0.0.7 (n.leader), 11.0.0.7 (n.zxid), 12.0.0.7 (n.round), LOOKING (n.state), 13.0.0.7 (n.sid), 14.0.0.7 (n.peerEPoch), LEADING (my state)
14 Notification: 10.0.0.7 (n.leader), 11.0.0.7 (n.zxid), 12.0.0.7 (n.round), LOOKING (n.state), 13.0.0.7 (n.sid), 14.0.0.7 (n.peerEPoch), LEADING (my state)
15 Notification: 10.0.0.8 (n.leader), 11.0.0.8 (n.zxid), 12.0.0.8 (n.round), LOOKING (n.state), 13.0.0.8 (n.sid), 14.0.0.8 (n.peerEPoch), LEADING (my state)
