dataset,target_score,construction_mode,selection_rank,requested_activation_ratio,activation_ratio,event_id,active,line_budget,start_line_id,end_line_id,requested_entropy_per_active_slot,target_entropy_per_active_slot,achieved_entropy_per_active_slot,ground_truth_group_ld,value_counts,placeholder_count,template
Android,0.1,ground-truth,1,0.31622776601683794,0.3119266055045872,E134,1,64,1,64,0.3205882352941177,0.3205882352941177,0.3206324901158998,0.3206324901158998,40 4 4 4 4 4 4,4,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> flg=<*> cmp=<*> (has extras) }"
Android,0.1,ground-truth,2,0.31622776601683794,0.3119266055045872,E7,1,64,65,128,0.3205882352941177,0.3205882352941177,0.3206324901158998,0.3206324901158998,40 4 4 4 4 4 4,3,<*>: <*> cannot be cast to <*>$Token
Android,0.1,ground-truth,3,0.31622776601683794,0.3119266055045872,E135,1,64,129,192,0.3205882352941177,0.3205882352941177,0.3206324901158998,0.3206324901158998,40 4 4 4 4 4 4,3,"Skipping, withExcluded: <*>, tr.intent:Intent { flg=<*> cmp=<*> (has extras) }"
Android,0.1,ground-truth,4,0.31622776601683794,0.3119266055045872,E5,1,64,193,256,0.3205882352941177,0.3205882352941177,0.3206324901158998,0.3206324901158998,40 4 4 4 4 4 4,2,[PhoneIntfMgr] getDataEnabled: subId=<*> phoneId=<*>
Android,0.1,ground-truth,5,0.31622776601683794,0.3119266055045872,E152,1,64,257,320,0.3205882352941177,0.3205882352941177,0.3206324901158998,0.3206324901158998,40 4 4 4 4 4 4,3,Unable to start service Intent { act=<*> cmp=<*> } U=<*>: not found
Android,0.1,ground-truth,6,0.31622776601683794,0.3119266055045872,E114,1,64,321,384,0.3205882352941177,0.3205882352941177,0.3206324901158998,0.3206324901158998,40 4 4 4 4 4 4,3,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED"
Android,0.1,ground-truth,7,0.31622776601683794,0.3119266055045872,E146,1,64,385,448,0.3205882352941177,0.3205882352941177,0.3206324901158998,0.3206324901158998,40 4 4 4 4 4 4,1,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>
Android,0.1,ground-truth,8,0.31622776601683794,0.3119266055045872,E97,1,64,449,512,0.3205882352941177,0.3205882352941177,0.3206324901158998,0.3206324901158998,40 4 4 4 4 4 4,7,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():<*>"
Android,0.1,ground-truth,9,0.31622776601683794,0.3119266055045872,E33,1,64,513,576,0.3205882352941177,0.3205882352941177,0.3206324901158998,0.3206324901158998,40 4 4 4 4 4 4,5,"cancelNotificationWithTag pid <*>,uid = <*>,tag = <*>,pkg =<*>,id =<*>"
Android,0.1,ground-truth,10,0.31622776601683794,0.3119266055045872,E116,1,64,577,640,0.3205882352941177,0.3205882352941177,0.3206324901158998,0.3206324901158998,40 4 4 4 4 4 4,1,scheduleTimeTickEvent triggerAtTime = <*>
