dataset,target_score,construction_mode,selection_rank,requested_activation_ratio,activation_ratio,event_id,active,line_budget,start_line_id,end_line_id,requested_entropy_per_active_slot,target_entropy_per_active_slot,achieved_entropy_per_active_slot,ground_truth_group_ld,value_counts,placeholder_count,template
Hadoop,0.1,ground-truth,1,0.31622776601683794,0.3181818181818182,E71,1,64,1,64,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,1,Not uberizing <*> because: not enabled; too many maps; too much input;
Hadoop,0.1,ground-truth,2,0.31622776601683794,0.3181818181818182,E59,1,64,65,128,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,2,JVM with ID: <*> given task: <*>
Hadoop,0.1,ground-truth,3,0.31622776601683794,0.3181818181818182,E10,1,64,129,192,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,5,Address change detected. Old: <*>/<*>:<*> New: <*>:<*>
Hadoop,0.1,ground-truth,4,0.31622776601683794,0.3181818181818182,E106,1,64,193,256,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,1,The job-conf file on the remote FS is <*>
Hadoop,0.1,ground-truth,5,0.31622776601683794,0.3181818181818182,E66,1,64,257,320,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,2,"maxContainerCapability: <memory:<*>, vCores:<*>"
Hadoop,0.1,ground-truth,6,0.31622776601683794,0.3181818181818182,E40,1,64,321,384,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,1,Error writing History Event: org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@<*>
Hadoop,0.1,ground-truth,7,0.31622776601683794,0.3181818181818182,E90,1,64,385,448,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,2,Resolved <*> to <*>
Hadoop,0.1,ground-truth,8,0.31622776601683794,0.3181818181818182,E8,1,64,449,512,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,1,adding path spec: <*>
Hadoop,0.1,ground-truth,9,0.31622776601683794,0.3181818181818182,E113,1,64,513,576,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,2,Web app <*> started at <*>
Hadoop,0.1,ground-truth,10,0.31622776601683794,0.3181818181818182,E22,1,64,577,640,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,1,ATTEMPT_START <*>
Hadoop,0.1,ground-truth,11,0.31622776601683794,0.3181818181818182,E25,1,64,641,704,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,1,blacklistDisablePercent is <*>
Hadoop,0.1,ground-truth,12,0.31622776601683794,0.3181818181818182,E23,1,64,705,768,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,1,Auth successful for <*> (auth:SIMPLE)
Hadoop,0.1,ground-truth,13,0.31622776601683794,0.3181818181818182,E76,1,64,769,832,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,1,OutputCommitter set in config <*>
Hadoop,0.1,ground-truth,14,0.31622776601683794,0.3181818181818182,E108,1,64,833,896,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,1,"Thread Thread[eventHandlingThread,<*>,main] threw an Exception."
Hadoop,0.1,ground-truth,15,0.31622776601683794,0.3181818181818182,E74,1,64,897,960,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,2,Opening proxy : <*>:<*>
Hadoop,0.1,ground-truth,16,0.31622776601683794,0.3181818181818182,E31,1,64,961,1024,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,2,Default file system [hdfs://<*>:<*>]
Hadoop,0.1,ground-truth,17,0.31622776601683794,0.3181818181818182,E77,1,64,1025,1088,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,3,Processing the event EventType: <*> for container <*> taskAttempt <*>
Hadoop,0.1,ground-truth,18,0.31622776601683794,0.3181818181818182,E49,1,64,1089,1152,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,3,Instantiated MRClientService at MININT-<*>/<*>:<*>
Hadoop,0.1,ground-truth,19,0.31622776601683794,0.3181818181818182,E19,1,64,1153,1216,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,1,<*> TaskAttempt Transitioned from RUNNING to SUCCESS_CONTAINER_CLEANUP
Hadoop,0.1,ground-truth,20,0.31622776601683794,0.3181818181818182,E83,1,64,1217,1280,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,2,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
Hadoop,0.1,ground-truth,21,0.31622776601683794,0.3181818181818182,E91,1,64,1281,1344,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,5,"Retrying connect to server: <*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)"
Hadoop,0.1,ground-truth,22,0.31622776601683794,0.3181818181818182,E15,1,64,1345,1408,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,1,<*> TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP
Hadoop,0.1,ground-truth,23,0.31622776601683794,0.3181818181818182,E98,1,64,1409,1472,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,2,Starting Socket Reader #<*> for port <*>
Hadoop,0.1,ground-truth,24,0.31622776601683794,0.3181818181818182,E17,1,64,1473,1536,0.31428571428571433,0.31428571428571433,0.3147567986071996,0.3147567986071996,45 2 2 2 2 2 2 2 2 1 1 1,1,<*> TaskAttempt Transitioned from NEW to UNASSIGNED
