dataset,target_score,construction_mode,selection_rank,requested_activation_ratio,activation_ratio,event_id,active,line_budget,start_line_id,end_line_id,requested_entropy_per_active_slot,target_entropy_per_active_slot,achieved_entropy_per_active_slot,ground_truth_group_ld,value_counts,placeholder_count,template
HPC,0.4,ground-truth,1,0.6324555320336759,0.6153846153846154,E10,1,64,1,64,0.65,0.65,0.6500469725041315,0.6500469725041315,27 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,ClusterFileSystem: There is no server for ServerFileSystem domain <*>
HPC,0.4,ground-truth,2,0.6324555320336759,0.6153846153846154,E16,1,64,65,128,0.65,0.65,0.6500469725041315,0.6500469725041315,27 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,Failed subcommands <*>
HPC,0.4,ground-truth,3,0.6324555320336759,0.6153846153846154,E40,1,64,129,192,0.65,0.65,0.6500469725041315,0.6500469725041315,27 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,ServerFileSystem: ServerFileSystem domain <*> is full
HPC,0.4,ground-truth,4,0.6324555320336759,0.6153846153846154,E19,1,64,193,256,0.65,0.65,0.6500469725041315,0.6500469725041315,27 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,halt (command <*>)
HPC,0.4,ground-truth,5,0.6324555320336759,0.6153846153846154,E35,1,64,257,320,0.65,0.65,0.6500469725041315,0.6500469725041315,27 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,psu failure\ ambient=<*>
HPC,0.4,ground-truth,6,0.6324555320336759,0.6153846153846154,E4,1,64,321,384,0.65,0.65,0.6500469725041315,0.6500469725041315,27 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,boot (command <*>)
HPC,0.4,ground-truth,7,0.6324555320336759,0.6153846153846154,E45,1,64,385,448,0.65,0.65,0.6500469725041315,0.6500469725041315,27 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,wait (command <*>)
HPC,0.4,ground-truth,8,0.6324555320336759,0.6153846153846154,E17,1,64,449,512,0.65,0.65,0.6500469725041315,0.6500469725041315,27 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,5,Fan speeds ( <*> <*> <*> **** <*> <*> )
HPC,0.4,ground-truth,9,0.6324555320336759,0.6153846153846154,E30,1,64,513,576,0.65,0.65,0.6500469725041315,0.6500469725041315,27 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,2,NIFF: node node-<*> has detected an available network connection on network <*> via interface scip0
HPC,0.4,ground-truth,10,0.6324555320336759,0.6153846153846154,E42,1,64,577,640,0.65,0.65,0.6500469725041315,0.6500469725041315,27 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,4,Targeting domains:node-<*> and nodes:node-[<*>-<*>] child of command <*>
HPC,0.4,ground-truth,11,0.6324555320336759,0.6153846153846154,E22,1,64,641,704,0.65,0.65,0.6500469725041315,0.6500469725041315,27 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,4,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
HPC,0.4,ground-truth,12,0.6324555320336759,0.6153846153846154,E36,1,64,705,768,0.65,0.65,0.6500469725041315,0.6500469725041315,27 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,risBoot (command <*>)
HPC,0.4,ground-truth,13,0.6324555320336759,0.6153846153846154,E27,1,64,769,832,0.65,0.65,0.6500469725041315,0.6500469725041315,27 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,2,NIFF: node node-<*> detected a failed network connection on network <*> via interface alt0
