dataset,target_score,construction_mode,selected_templates,active_templates,requested_activation_ratio,activation_ratio,requested_entropy_per_active_slot,target_entropy_per_active_slot,achieved_entropy_per_active_slot,ground_truth_ld,output_lines,human_output_file,eval_output_file
HDFS,0.5,ground-truth,14,10,0.7071067811865476,0.7142857142857143,0.7,0.7,0.6997461432721638,0.4998186737658313,896,results\ground_truth_diversity\generated_logs\level_0_5\HDFS\HDFS.log,data\gtld\diversity_0_5\HDFS\HDFS.log
Hadoop,0.5,ground-truth,88,62,0.7071067811865476,0.7045454545454546,0.7096774193548386,0.7096774193548386,0.7096696137988133,0.4999945006309821,5632,results\ground_truth_diversity\generated_logs\level_0_5\Hadoop\Hadoop.log,data\gtld\diversity_0_5\Hadoop\Hadoop.log
Spark,0.5,ground-truth,24,17,0.7071067811865476,0.7083333333333334,0.7058823529411764,0.7058823529411764,0.7060728608317234,0.5001349430891374,1536,results\ground_truth_diversity\generated_logs\level_0_5\Spark\Spark.log,data\gtld\diversity_0_5\Spark\Spark.log
Zookeeper,0.5,ground-truth,38,27,0.7071067811865476,0.7105263157894737,0.7037037037037037,0.7037037037037037,0.7035617345786789,0.4998991272006402,2432,results\ground_truth_diversity\generated_logs\level_0_5\Zookeeper\Zookeeper.log,data\gtld\diversity_0_5\Zookeeper\Zookeeper.log
BGL,0.5,ground-truth,100,71,0.7071067811865476,0.71,0.7042253521126761,0.7042253521126761,0.7044612804654798,0.5001675091304907,6400,results\ground_truth_diversity\generated_logs\level_0_5\BGL\BGL.log,data\gtld\diversity_0_5\BGL\BGL.log
HPC,0.5,ground-truth,26,18,0.7071067811865476,0.6923076923076923,0.7222222222222222,0.7222222222222222,0.7221077532410733,0.49992075224382,1664,results\ground_truth_diversity\generated_logs\level_0_5\HPC\HPC.log,data\gtld\diversity_0_5\HPC\HPC.log
Thunderbird,0.5,ground-truth,103,73,0.7071067811865476,0.7087378640776699,0.7054794520547945,0.7054794520547945,0.7055764322240586,0.5000687335180222,6592,results\ground_truth_diversity\generated_logs\level_0_5\Thunderbird\Thunderbird.log,data\gtld\diversity_0_5\Thunderbird\Thunderbird.log
Windows,0.5,ground-truth,30,21,0.7071067811865476,0.7,0.7142857142857143,0.7142857142857143,0.7139254230587686,0.499747796141138,1920,results\ground_truth_diversity\generated_logs\level_0_5\Windows\Windows.log,data\gtld\diversity_0_5\Windows\Windows.log
Linux,0.5,ground-truth,71,50,0.7071067811865476,0.704225352112676,0.7100000000000001,0.7100000000000001,0.7099220602839101,0.499945112875993,4544,results\ground_truth_diversity\generated_logs\level_0_5\Linux\Linux.log,data\gtld\diversity_0_5\Linux\Linux.log
Android,0.5,ground-truth,109,77,0.7071067811865476,0.7064220183486238,0.7077922077922079,0.7077922077922079,0.7077118076084538,0.4999432035399169,6976,results\ground_truth_diversity\generated_logs\level_0_5\Android\Android.log,data\gtld\diversity_0_5\Android\Android.log
HealthApp,0.5,ground-truth,51,36,0.7071067811865476,0.7058823529411765,0.7083333333333333,0.7083333333333333,0.7083333333333331,0.49999999999999983,3264,results\ground_truth_diversity\generated_logs\level_0_5\HealthApp\HealthApp.log,data\gtld\diversity_0_5\HealthApp\HealthApp.log
Apache,0.5,ground-truth,6,4,0.7071067811865476,0.6666666666666666,0.75,0.75,0.7500000000000008,0.5000000000000006,384,results\ground_truth_diversity\generated_logs\level_0_5\Apache\Apache.log,data\gtld\diversity_0_5\Apache\Apache.log
OpenSSH,0.5,ground-truth,24,17,0.7071067811865476,0.7083333333333334,0.7058823529411764,0.7058823529411764,0.7060728608317234,0.5001349430891374,1536,results\ground_truth_diversity\generated_logs\level_0_5\OpenSSH\OpenSSH.log,data\gtld\diversity_0_5\OpenSSH\OpenSSH.log
OpenStack,0.5,ground-truth,41,29,0.7071067811865476,0.7073170731707317,0.706896551724138,0.706896551724138,0.7068530598169566,0.4999692374315059,2624,results\ground_truth_diversity\generated_logs\level_0_5\OpenStack\OpenStack.log,data\gtld\diversity_0_5\OpenStack\OpenStack.log
Mac,0.5,ground-truth,235,166,0.7071067811865476,0.7063829787234043,0.7078313253012049,0.7078313253012049,0.7077118076084538,0.49991557473618436,15040,results\ground_truth_diversity\generated_logs\level_0_5\Mac\Mac.log,data\gtld\diversity_0_5\Mac\Mac.log
Proxifier,0.5,ground-truth,8,6,0.7071067811865476,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.5,512,results\ground_truth_diversity\generated_logs\level_0_5\Proxifier\Proxifier.log,data\gtld\diversity_0_5\Proxifier\Proxifier.log
