dataset,target_score,ground_truth_ld,target_error,group_count,active_groups,active_group_ratio,mean_active_group_ld,alpha,expected_lines,actual_lines,line_count_matches,group_report,data_file
HDFS,0.9,0.8995535714,-0.0004464286,14,13,0.9285714286,0.9687500000,0.5000,896,896,1,results\ground_truth_diversity\build_reports\level_0_9\template_groups\HDFS_groups.csv,data\gtld\diversity_0_9\HDFS\HDFS.log
Hadoop,0.9,0.8999289726,-0.0000710274,88,83,0.9431818182,0.9541415613,0.5000,5632,5632,1,results\ground_truth_diversity\build_reports\level_0_9\template_groups\Hadoop_groups.csv,data\gtld\diversity_0_9\Hadoop\Hadoop.log
Spark,0.9,0.8996609348,-0.0003390652,24,23,0.9583333333,0.9387766276,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_9\template_groups\Spark_groups.csv,data\gtld\diversity_0_9\Spark\Spark.log
Zookeeper,0.9,0.8992357525,-0.0007642475,38,36,0.9473684211,0.9491932943,0.5000,2432,2432,1,results\ground_truth_diversity\build_reports\level_0_9\template_groups\Zookeeper_groups.csv,data\gtld\diversity_0_9\Zookeeper\Zookeeper.log
BGL,0.9,0.9005208333,0.0005208333,100,95,0.9500000000,0.9479166667,0.5000,6400,6400,1,results\ground_truth_diversity\build_reports\level_0_9\template_groups\BGL_groups.csv,data\gtld\diversity_0_9\BGL\BGL.log
HPC,0.9,0.8995520645,-0.0004479355,26,25,0.9615384615,0.9355341471,0.5000,1664,1664,1,results\ground_truth_diversity\build_reports\level_0_9\template_groups\HPC_groups.csv,data\gtld\diversity_0_9\HPC\HPC.log
Thunderbird,0.9,0.9000308714,0.0000308714,103,98,0.9514563107,0.9459508138,0.5000,6592,6592,1,results\ground_truth_diversity\build_reports\level_0_9\template_groups\Thunderbird_groups.csv,data\gtld\diversity_0_9\Thunderbird\Thunderbird.log
Windows,0.9,0.9002543461,0.0002543461,30,28,0.9333333333,0.9645582279,0.5000,1920,1920,1,results\ground_truth_diversity\build_reports\level_0_9\template_groups\Windows_groups.csv,data\gtld\diversity_0_9\Windows\Windows.log
Linux,0.9,0.9003871071,0.0003871071,71,67,0.9436619718,0.9541415613,0.5000,4544,4544,1,results\ground_truth_diversity\build_reports\level_0_9\template_groups\Linux_groups.csv,data\gtld\diversity_0_9\Linux\Linux.log
Android,0.9,0.9006594037,0.0006594037,109,103,0.9449541284,0.9531250000,0.5000,6976,6976,1,results\ground_truth_diversity\build_reports\level_0_9\template_groups\Android_groups.csv,data\gtld\diversity_0_9\Android\Android.log
HealthApp,0.9,0.9001105698,0.0001105698,51,48,0.9411764706,0.9563674805,0.5000,3264,3264,1,results\ground_truth_diversity\build_reports\level_0_9\template_groups\HealthApp_groups.csv,data\gtld\diversity_0_9\HealthApp\HealthApp.log
Apache,0.9,0.8996632161,-0.0003367839,6,6,1.0000000000,0.8996632161,0.5000,384,384,1,results\ground_truth_diversity\build_reports\level_0_9\template_groups\Apache_groups.csv,data\gtld\diversity_0_9\Apache\Apache.log
OpenSSH,0.9,0.8996609348,-0.0003390652,24,23,0.9583333333,0.9387766276,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_9\template_groups\OpenSSH_groups.csv,data\gtld\diversity_0_9\OpenSSH\OpenSSH.log
OpenStack,0.9,0.8998068717,-0.0001931283,41,39,0.9512195122,0.9459508138,0.5000,2624,2624,1,results\ground_truth_diversity\build_reports\level_0_9\template_groups\OpenStack_groups.csv,data\gtld\diversity_0_9\OpenStack\OpenStack.log
Mac,0.9,0.9003736588,0.0003736588,235,223,0.9489361702,0.9488242592,0.5000,15040,15040,1,results\ground_truth_diversity\build_reports\level_0_9\template_groups\Mac_groups.csv,data\gtld\diversity_0_9\Mac\Mac.log
Proxifier,0.9,0.8996632161,-0.0003367839,8,8,1.0000000000,0.8996632161,0.5000,512,512,1,results\ground_truth_diversity\build_reports\level_0_9\template_groups\Proxifier_groups.csv,data\gtld\diversity_0_9\Proxifier\Proxifier.log
